"Date","Headline","Place","Name","Story"
"10/1/2012","Cootes paradise","Cootes Paradise is a major wetland area on the west side of Hamilton Harbour, stretching for more than 600 hectares. It is managed by the Royal Botanical Gardens.","Captain Thomas Coote was a British naval officer, of Irish extraction, in the late 1700s who enjoyed shooting ducks in the marsh.","Until the 1840s, Cootes Paradise was the name of the marshland area as well as a community at the western end that became known as Dundas in the 1840s."
"10/29/2012","COPPS COLISEUM","Copps Coliseum, at Bay Street North and York Boulevard, opened in 1985 to host sports and entertainment events.","Victor K. Copps (1919-1988) was mayor of Hamilton from 1962 to 1976.","Copps was one of Hamilton’s longest-serving mayors, the city’s first Roman Catholic mayor and a major figure in downtown urban renewal efforts of the 1960s and ’70s. He was forced to step down as mayor after suffering a heart attack while running in the Around the Bay Road Race in 1976. His daughter is longtime Liberal politician Sheila Copps."
"2/1/2013","CRERAR DRIVE","Crerar Drive runs parallel to Upper Wentworth on the south Mountain between the Linc and Stone Church Road.","The street is named after Canadian General Henry Duncan Graham (Harry) Crerar (1888 to 1965). Crerar was Canada's leading field commander in the Second World War and led Canadian forces through Europe after D-Day.","Crerar fought in both the First and Second World Wars. In 1941, he was promoted to lieutenant-general, later taking command of the First Canadian Army in Normandy in 1944. In that same year, Crerar was made a full general. He was also one of the first inductees to the Hamilton Gallery of Distinction."
"2/25/2013","Crockett Street","Crockett Street runs between Upper Gage Avenue and Upper Wentworth Street","Wilson Ainsworth Crockett was a reeve of Baron Township and an MLA from 1924 to 1928.","Crockett's son ran a canning company near where the street is today. According to the book Hamilton Street Names, by Margaret Houghton, his name was John, but he called the business the Davy (or Davey) Crockett Co. after the famed Texas frontiersman who died at the Alamo in Texas."
"12/21/2012","Crooks Hollow","Crooks Hollow is a former community near Spencer Creek between highways 5 and 8 on the escarpment near Dundas.","James Crooks (1778 to 1860) came to the area before the War of 1812 and established a successful grist mill, blacksmith shop, tannery, saw mill and general store.","Crooks was also known as co-owner of the schooner, The Lord Nelson. It was seized by American privateers in the War of 1812 and turned into a warship, The Scourge."
"6/10/2013","CUMMINS LANE","The lane runs off Duncaster Drive, east of Brant Street in Burlington.","Titus Cummins, a Justice of the Peace and postmaster, among other things, founded Cumminsville, a hamlet south of Kilbride, in the 1800s.","The City of Burlington's planning department decided to commemorate Cumminsville by naming this street after the former hamlet's founder, according to the book Burlington Streets, What's Behind a Name?"
"4/10/2013","Darlene Court","Darlene Court in Burlington runs north-south between Fairview Street and the CN Rail line. It is between Appleby Line and Walkers Line.","It is named after Darlene Andrews, who worked as a draftsperson for the City of Burlington.","According to Burlington’s Streets, by the Burlington Historical Society, Andrews was on contract with the city when she was presented with a street plan by a developer in 1981. When told a name was required for the street, he asked Andrews what her name was. After she told him, the developer responded: ""That will do."" One of the businesses on the court is Ultramatic Sleep of Canada, the adjustable bed company. Burlington bed baron Ron Patterson sold it in 2007."
"2/4/2013","DAVID BRALEY ATHLETIC CENTRE","The David Braley Athletic Centre is a $31-million, 132,000-square-foot athletic facility at McMaster University that opened in 2007.","Braley, 71, is a senator and businessman who owns both the Toronto Argonauts and the B.C. Lions of the Canadian Football League.","Braley, a graduate from McMaster University, was successful in the auto parts business with his company Orlick Industries. He is also known for his philanthropic work that included a $5-million donation toward the athletic centre at McMaster that bears his name."
"2/2/2013","Desjardins Canal","Desjardins Canal","Pierre Desjardins, who came to the area from France in 1802, successfully pressured the government into building what came to be known as the Desjardins Canal.","The canal was built to improve shipping between Dundas and Lake Ontario, by essentially building a shipping lane through the Beach Strip across the Burlington Bay and through Cootes Paradise. The project was completed in 1837, 10 years after Desjardins' death."
"3/8/2013","DEWITT ROAD","The road runs between Ridge Road and the South Service Road in Stoney Creek.","It is named for the Dewitt family, who were early settlers in what was then known as Saltfleet Township.","A family fruit farm occupied the southwest corner of Highway 8 (Queenston Road) and Dewitt Road. Dewitt Park is on part of the former homestead. According to Saltfleet Then and Now 1792-1973, the first Dewitt to come to the township was Jacob Dewitt (1766-1826), who had a farm on top of the Niagara Escarpment. The farm below the escarpment was operated by Charles Dewitt. His son Fred opened a well-known garage across the road from the farm and between 1914 and 1920 it had the top sales of Ford cars in all of Ontario. Charles Dewitt's home stood until 2001."
"12/14/2012","DICKENSON ROAD","Runs west to east between Glancaster Road and Trinity Church Road in the former Township of Glanbrook.","The road is named for the Dickenson family, which settled in North Glanford in 1854, this area was north of Mount Hope.","Patriarch Edward Dickenson was a stonemason. The family started a brickyard in 1873 at what are now Twenty Road and Upper James Street. John Dickenson was elected MPP for South Wentworth (1892-1904). He was one of the ""Five Johns"" of the Cataract Power Company. They first brought electricity to Hamilton from Niagara's DeCew Falls."
"9/4/2013","DOUG WRIGHT PARK","4725 Doug Wright Dr. in Burlington.","Doug Wright (1917 to 1983) was a popular Canadian cartoonist who lived in Burlington from the mid-1960s onward.","Wright was best known for his weekly comic strip Doug Wright's Family, which was also known as Nipper. The strip, about a suburban family, began in 1949 for the Montreal Standard newspaper before gaining widespread exposure in Weekend Magazine, which used to be inserted into many Saturday newspapers in Canada. Wright also drew comic strips Max & Mini, Cynthia and The Wheels, as well as producing editorial cartoons at The Spectator."
"4/13/2013","Dovercourt Avenue","Dovercourt Avenue runs off Plains Road, west of King Road, in Burlington","Dovercourt, England, is the burial spot of Burlington's Reginald Bullock, who was killed in the First World War.","Landowner Nora Bullock of Burlington sold the property to a developer in 1956 on the condition that the street would be named to honour her son, Reginald, who was killed in action in 1918 and was buried at Dovercourt."
"5/28/2013","Dr. Frank J. Hayden Secondary School","Dr. Frank J. Hayden Secondary School","Burlington’s newest high school, set to open its doors this fall in the Alton area, is named after Frank Hayden, who helped create the Special Olympics, which began in 1968. The program now provides training and competition for more than three million athletes in more than 170 countries.","A Burlington resident for 37 years, Hayden has received numerous honorary degrees and awards for his research and contributions to the quality of life of people with intellectual disabilities through sport. From 1975 to 1981 he was director of the School of Physical Education and Athletics at Mac."
"12/8/2012","Dr. J. Edgar Davey school","Dr. J. Edgar Davey is a public elementary school on the northwest corner Ferguson Avenue and Wilson Street.","It was named for a local doctor who, starting in 1923, served the Hamilton Board of Education for close to three decades - principally as its chief medical officer. In 1940, he was named the city's chief medical officer of health, and in 1962, he was named Hamilton's citizen of the year.","The school absorbed students from the former King Edward and Cannon Street schools when it opened in 1971. Rebuilt in 2010 as part of the Hamilton-Wentworth District School Board's revitalization plan, it serves one of the most impoverished urban areas in the country."
"12/29/2012","Dr. JOHN SEATON ELEMENTARY SCHOOL","Dr. John Seaton Elementary School is a public school on Seaton Road, just off Highway 8 and outside the village of Sheffield in Flamborough.","It was named after a prominent doctor who served the former community of Beverly Township from 1920 to 1959. Seaton actively promoted youth sports programs and helped co-found the Ontario Rural Hockey Association and the Ontario Rural Softball Association in the early 1930s. He served in the medical corps of the Canadian Army toward the end of the First World War and held the rank of captain.","The school was opened in 1969 by the former Beverly Township School Board. The school has about 250 students ranging from junior kindergarten to Grade 8. It was renovated in 2010 when Sheffield School closed."
"8/1/2013","DUFF'S CORNERS","Duff's Corners is located at Garner Road West and Wilson Street in Ancaster.","The crossroads is named after the family stemming from Lockhart Duff (1793 to 1858), an early settler to the area from Scotland.","Duff owned 250 acres from Main Street to the escarpment in and around Dundas. He was a gentleman farmer who lived in a 10-room stone house on the property."
"12/7/2012","DUNNVILLE","Dunnville is a town that is part of Haldimand County.","It was named for John Henry Dunn, receiver-general of Upper Canada from 1820-43. The town developed as the terminus for the Welland Feeder Canal and Dunn served as president of the canal company.","Notable residents were James Allan, longtime MPP and Ontario treasurer (1961-66). The town lost its newspaper last week when Sun Media closed the doors to the Dunnville Chronicle. It had published for 106 years."
"10/3/2012","DURAND NEIGHBOURHOOD","The Durand Neighbourhood stretches between James and Queen streets, and the escarpment to Main Street West.","James Durand (1775-1833), was a businessman, politician, land owner and militia officer.","In 1815, Durand, who lived near the escarpment on what became known as John Street, sold 257 acres of land to George Hamilton. The land was divided into lots, which effectively became the start of the City of Hamilton."
"3/6/2013","DYNES PARK AVENUE","Dynes Park Avenue is a cul-de-sac off Beach Boulevard in the Hamilton Beach Strip. It runs between the boulevard and the Waterfront Trail and is in the shadow of the Burlington Bay James N. Allan Skyway Bridge.","It is named for the Dynes family, who moved to the Beach Strip after the War of 1812 and were among the earliest settlers in the Hamilton area.","The family arrived on the Beach Strip about 1817. In the late 1840s, John Dynes built the legendary Dynes Hotel. The place became famous for its Saturday night duck dinners which regularly drew 500 patrons. The first hotel burned down in 1886 and was rebuilt. It was torn down by its owner in 2007 while the city studied its heritage value. It is now the site of a townhouse development."
"12/27/2012","Earl Kitchener Elementary School","Earl Kitchener is a public elementary school on Dundurn Street South, at Stanley Ave.","The school is named for Horatio Herbert Kitchener, a British field marshal who gained fame for his imperial campaigns in the Sudan in the 1890s.","Built in 1915, Earl Kitchener is one of the city's oldest schools still in operation. Today, the school houses students from kindergarten to Grade 5 and hosts several unique programs, including French immersion and the public school board's popular violin and piano programs."
"9/18/2013","ELIZABETH STREET","Elizabeth Street runs from the waterfront to Caroline Street in Burlington.","There are differing views about the origin of the name.","According to the Burlington Historical Society, Elizabeth refers to the youngest daughter of Chief Joseph Brant or an Elizabeth Kerns who cared for the sick and injured, helping out a local doctor."
"11/8/2012","ELLEN FAIRCLOUGH BUILDING","The Ellen Fairclough Building, at the corner of MacNab and King streets in Hamilton, is used for government offices.","Ellen Fairclough (1905 to 2004) was trained as a chartered accountant but transitioned into politics, serving municipally before being elected as a federal MP for the riding of Hamilton West.","Among other things, Fairclough is remembered for being Canada's first female cabinet minister when she was appointed secretary of state in prime minister John Diefenbaker's cabinet in 1957."
"6/4/2013","Emerson Street","Emerson Street runs between Main Street West and the base of the escarpment.","The street has a long history in west Hamilton but it's not certain where the name Emerson comes from.","Emerson Street started as a farmer's lane used by the Bamberger family, according to the book Hamilton Street Names. Later, it evolved into a business centre in the village of West Hamilton, and now is a mix of houses and businesses. The Bamberger house was moved and is part of the collection of pioneer houses at Westfield Heritage Village, where it is described as ""Hamilton's oldest building."""
"12/24/2012","FATHER SEAN O’SULLIVAN PARK","Father Sean O’Sullivan Park, 1141 Greenhill Ave., was developed in 1992 with an accessible play structure, swings, bocce courts, a multi-purpose court, spray pad and shelter. The park is adjacent to Board of Education property and a ravine.","Father Sean O’Sullivan (1952 to 1989) was an MP from Hamilton who left politics to go into the priesthood.","O’Sullivan was only 20 when he was first elected in 1972 as a Conservative for the riding of Hamilton-Wentworth. He was seen to be a rising star in the party and was re-elected in 1974. But then in 1977 he stunned observers by announcing he was joining the Roman Catholic priesthood and leaving politics. Six years later he was diagnosed with leukemia and died in 1989 at the age of 37."
"11/19/2012","Fennell Avenue","Fennell Avenue is a major east-west route on the Mountain that runs between Mountain Brow Boulevard and Garth Street.","Rev. Joseph Fennell (1835 to 1919) was an Anglican priest who worked in Hamilton, Toronto and Niagara.","Among other accomplishments in his life, he founded St. Stephen-on-the-Mount Anglican Church. In 1909, he moved to Toronto, where he died 10 years later. He is buried at Hamilton Cemetery."
"2/26/2013","FERGUSON AVENUE","Ferguson Avenue runs from the escarpment to the bay, through Hamilton’s downtown.","Peter Ferguson came to the area with his wife, Florence, in the 1790s, and was one of the first settlers in the Head of the Lake.","He was given 100 acres of land between Main Street and the Bay around where Ferguson Avenue is today. Through the 1800s and into the early 1900s, Ferguson Avenue had a major train station for trains passing through the city."
"9/25/2012","FERRIE STREET","Ferrie Street runs between Wellington and Cheever, John and Ferguson, and Nichol to Hughson streets.","Colin Campbell Ferrie (1808 to 1856) was the first mayor of Hamilton in 1847.","Ferrie was a businessman who ran into financial problems after a series of setbacks that included two vessels carrying company goods sinking in Lake Ontario. In 1856, after a meeting with officials from the Gore Bank, he collapsed and later died of ""an enlargement of the heart."" But many at the time attributed his demise to the stress he was under from his failing business interests."
"12/1/2012","FIDDLER'S GREEN ROAD","Fiddler's Green Road is in Ancaster, running north-south from Jerseyville Road south to the Glancaster townline.","It stems from the many nights of music and dancing led by local musicians.","A unique stretch of farmland, commercial properties and subdivisions, Fiddler's Green Road is a major artery that bridges Highway 403 to the John C. Munro Hamilton International Airport in Mount Hope. According to the book Hamilton Street Names by Margaret Houghton, the road got its name and reputation because of a group of fiddlers. Crowds would gather at a roadside inn to listen and dance to the sounds of their violins."
"3/23/2013","Filman Road","Filman Road in Ancaster runs beside the clover leaf exit at the Chedoke Expressway and Mohawk Road.","Conrad Filman was one of 22 squatters, who were mostly United Empire Loyalists, who lived in the area of the road more than two centuries ago.","Filman and the other squatters settled on the land, four years before the land was surveyed in 1793, according to the book Hamilton Street Names, by Margaret Houghton. Filman Road is part of a now closed, longer road that used to serve as a Mountain access."
"4/18/2013","FRANZ LISZT AVENUE","Franz Liszt Avenue is the commemorative name for the section of MacNab Street South that runs between King and Hunter streets.","The street section is named for the Hungarian composer Franz Liszt (1811 to 1886), considered one of the greatest pianists of his time.","The reason for the naming was to recognize the scholarship of McMaster University professor Alan Walker, who is viewed as the foremost expert on Liszt. He wrote a much lauded, multi-volume biography of the composer."
"9/18/2012","Frid Street","Frid Street runs from Main Street West to Chatham Street, parallel to Dundurn Street, in the central/west part of the city.","The Frid family moved to Hamilton in the late 1800s and operated businesses on the street.","The family began in the bricklaying business on Main Street West near where Frid Street is today. A second generation of Frids expanded into a thriving construction enterprise along Frid Street, taking on major projects such as the Joseph Brant Hospital in Burlington and the physical sciences building at McMaster University. Today, Frid Street is the home of The Hamilton Spectator, where the newspaper has operated since 1976."
"5/24/2013","GAGE PARK","Gage Park is a 30-hectare park between Main Street East and Lawrence Road in the central-eastern part of the city near the escarpment.","Robert Russell Gage (1840 to 1918) was a lawyer, husband of Hannah Jane Gage, and descendant of William Gage who came to the area in 1790 and was granted 600 acres of land near Stoney Creek.","Robert Gage sold the land for the park to the City of Hamilton in 1918, with the deed being signed one day before he died. His daughter, Eugenie, donated a fountain inside the park in honour of her parents."
"9/26/2012","GARY HILL PARKETTE","Gary Hill Parkette is a small plot of land with a bench, surrounded with trees at 80 Queen St. N.","Gary Hill, 58, was an amateur historian who gave local cemetery tours and died on Aug. 15, 1999, after being severely beaten.","On Aug. 3, 1999, Gary Hill was walking on Caroline Street near Napier Street when he was accosted by two thugs who ambushed him. One of them struck him several times with a metal bar. He was left severely injured on the sidewalk and died in hospital 12 days later. An autopsy found he suffered three severe fractures on the right side of his skull and another to the back of his head. Court heard that robbery was the purpose of the attack, that one of the robbers was a crack addict and that Hill was only carrying a small amount of change. Wesley James Paul, 18, was sentenced to eight years in a federal penitentiary for manslaughter. His accomplice, Brian Robert Bovaird, 33, whose crack addiction motivated the robbery, was sentenced to two years less a day in a provincial jail. ""Not even if I had the wisdom of Solomon, could I do justice in this case, "" Judge Nick Borkovich told the court. ""The most aggravating feature here is the attack upon an innocent citizen who was simply enjoying the freedom of being able to walk our streets."" Hill's sister, Robin Hill, says her brother is remembered at Hamilton Cemetery by two markers, one with a bird bath near the entrance and another near where victims of the city's cholera epidemic are memorialized. Gary is buried close to the cemetery office. The plot was donated by the city for his efforts in making the cemetery a place to use for ""soft recreation"" and to deter vandalism, says Robin. She also notes that the Gary Hill Parkette is located ""approximately at the halfway point between where he was beaten and his home"" on Ray Street North."
"10/30/2012","GEORGE R. ALLAN ELEMENTARY SCHOOL","George R. Allan elementary school is on King Street West in Westdale.","George R. Allan (1860-1940) worked for 60 years at The Spectator and for 36 years as a public board of education trustee.","Allan served as a trustee during a time that saw a rapid modernization of schools in Hamilton. In 1927, a school seen to be among the most modern of the era was named after him. Allan’s brother John (1856-1922) was a mayor of Hamilton and a member of the provincial Parliament."
"10/13/2012","GEORGE R. ROBINSON BANDSHELL","The George R. Robinson Bandshell is on the western side of Gage Park.","For nearly a half century, George R. Robinson (1840 to 1917) was bandmaster of the 13th Battalion, now known as the Royal Hamilton Light Infantry.","The military band was struggling before Robinson took it over in 1869. But within a short time he managed to build it into a well-disciplined touring machine that travelled across the continent, spreading word about the battalion and the City of Hamilton."
"11/5/2012","GEORGE STREET","George Street is a short one in Carlisle near the community centre.","George Abrey lived in the 1800s and was a successful landowner and developer.","Abrey came to Upper Canada in the 1830s and received a land grant in East Flamborough. From there he purchased other parcels of land in the area, including property that would become the village of Carlisle. He then sold lots to new settlers and became the community’s postmaster."
"4/20/2013","GIBSON AVENUE","Gibson Avenue is in east Hamilton and runs from the CN Rail line, where it dead-ends, to King Street East. It is between Wentworth Street North and Sherman Avenue North.","The street is named for Sir John Morison Gibson (1842-1929), who served as lieutenant-governor of Ontario from 1908-1914.","Gibson came to Hamilton from Toronto and attended Hamilton Central School. Right away, he showed promise and, because of his school work, he was selected to turn on the water at the new Hamilton waterworks in 1859. He became a lawyer and helped found the Hamilton Law Association. He was one of the ""Four Johns"" who were behind the first hydro-electric plant in Canada at DeCew Falls in Niagara. In politics, he fought against cruelty to children and served as attorney general. He was given a funeral with full military honours in Hamilton when he died of a stroke in 1929."
"4/27/2013","GORDIE TAPP CRESCENT","Gordie Tapp Crescent runs off of William O'Connell Boulevard in Burlington.","Tapp, 91, who lives in Burlington, is a longtime broadcaster and entertainer and is best known for his more than two decades as a performer and writer on the American television program Hee Haw.","Tapp, who began his career as a radio broadcaster in Niagara Falls, has received numerous accolades in his career including a lifetime achievement award from the Hamilton Music Awards in 2012."
"1/19/2013","Gordon Price School","Gordon Price School is located on the east mountain, near Stone Church and Upper Paradise roads.","Gordon Price (1910-1996) was Hamilton’s director of education from 1961 to 1975.","Price began his teaching career at the Central High School of Commerce (known today as Sanford Avenue School) in 1937. He went on to work as a principal and then superintendent for the board before becoming director of education."
"6/7/2013","GOURLEY PARK","The park is at 142 Duncairn Cres., on the Mountain.","Col. William Gourlay (1794 to 1867) was a farmer and a part-time soldier who fought in the Rebellion of 1837.","Interestingly, at some point the spelling of the park mutated from Gourlay to Gourley, according to Hamilton's parks department. It's not clear why. Gourley is also the name of the neighourhood that surrounds the park in the area of Garth Street and Stone Church Road."
"7/24/2013","Governor's Road","Governor's runs from Main Street in downtown Dundas to Paris.","John Graves Simcoe (born in 1752) was the first lieutenant-governor of Upper Canada.","Construction on the road began in the 1790s, according to the Hamilton Street Names book, under the direction of Simcoe. It was one of the first roads built in the outlying regions of Hamilton. Log cabins were built along it to encourage people to move there and keep the road open."
"11/27/2012","GRANT AVENUE","Grant Avenue runs between King Street East and the escarpment.","Peter Grant (1813 to 1872) is best known as a Hamilton brewer.","Grant was involved with brewing companies that carried names such as Grant and Middleton, Grant's Spring Brewery and the Grant Lottridge Brewing Company. Advertising slogans included: ""When you hear a man smack his lips and exclaim: ‘The best I have ever tasted, ' you can be sure it's Grant's Spring Brewery Ale"" and claims that its beer would ""invigorate and tone up the system much more efficiently than the majority of widely advertised tonics."""
"6/21/2013","GRAVEL PIT ROAD","The Ancaster road runs north-south between Mineral Springs Road and an abandoned gravel pit near the hamlet of Mineral Springs.","It's named after the gravel pit.","It could have been worse. According to the book Hamilton Street Names, the road was also referred to as Skunk's Misery due to the smell produced by skunk cabbages in the area. The gravel pit was opened at the turn of the 20th century by John Reinhardt."
"3/14/2013","GREEN ROAD","Green Road in Stoney Creek runs between the Niagara Escarpment and Lake Ontario. Its northern leg is severed by the Queen Elizabeth Way.","The road is named for a family that came to the area from New Jersey in the late 1780s after the American War of Independence.","John Green came to the Niagara area with his wife, Mary. According to Saltfleet Then and Now 1792-1973, Green fought on the British side in the war. He was known to be well-connected and was a friend of Lieutenant-Governor John Graves Simcoe. A brother, Adam Green, followed and bought land in Saltfleet. He and his wife, Martha, had 10 children and one of them was Billy Green, who gained fame in connection with the Battle of Stoney Creek in 1813. The family's farm at Green Road and Highway 8 is now the site of St. Francis Xavier Roman Catholic Church and elementary school."
"7/4/2013","GREENFORD","It is a neighbourhood in east Hamilton on the border with old Stoney Creek, bounded by Queenston Road, Nash Road, King Street East and Centennial Parkway (Highway 20).","Ensign Adam Green was one of the first European settlers in the Stoney Creek area.","Green was born in New Jersey in 1739 and served in the British Army during the American War of Independence. He followed a brother to Upper Canada and settled in what is now Stoney Creek in 1793. He and his wife Martha had 11 children and the last, born in 1794, was Billy Green. He went on to fame for riding to Burlington Heights to give the British the American password and for taking part in the Battle of Stoney Creek on June 6, 1813."
"1/2/2013","GRENALLEN DRIVE","Grenallen Drive is in a Burlington subdivision near Upper Middle Road and Guelph Line.","Gren Allen was a longtime reporter at The Hamilton Spectator who died in 1981 at the age of 62.","The Spectator has had hundreds of reporters over the years, but it seems that only one has managed to get a byline on a street sign. His name was Gren Allen. For decades he covered news in Burlington and Milton and then one day in the early '80s, he found himself at a Burlington council meeting where councillors didn't like a list of street names put forward by a developer for a new subdivision. Stymied for alternatives, a councillor looked over at the press table and said there's a street name for you - Gren Allen. The developer agreed and the name ended up morphed slightly into Grenallen Drive. Rosaline Minaji of Burlington's planning department says that kind of thing would probably not happen today. The city has a list of names that developers are welcome to use. They've been checked with city staff and the police and fire department to make sure they are appropriate and don't sound too much like an existing street name. Developers can offer their own suggestions, but the name has to survive a scrutinizing process first. Allen worked as a journalist for 41 years, 23 of them with The Spectator. He died after a series of heart attacks."
"8/13/2013","GRIFFIN HOUSE","The house is located at 733 Mineral Springs Road in Ancaster.","The house was built in 1827 and purchased in 1834 by Enerals Griffin, an African-American escaped slave from Virginia.","The house remained in the Griffin family for 154 years. According to a National Historic Site plaque at the site posted by the federal government, the house is ""more elaborate than most residences of black settlers in this period and situated within a predominantly Euro-Canadian area rather than in an organized refugee community in southwestern Ontario, this house conveys the diversity of the black settler experience ..."""
"3/16/2013","GRIFFIN STREET","Griffin Street is in Waterdown and runs between Mill Street South and Main Street South. It is just southeast of Dundas Street (Highway 5).","The street is named for Ebenezer Culver Griffin (1800-1847), who is generally considered the founder or first developer of the village of Waterdown.","Griffin was the son of Smith Griffin, who is credited with founding Smithville on the Twenty Mile Creek in Niagara after he built a mill there in the early 1800s. Ebenezer Griffin bought land along the Grindstone Creek in 1823. In 1831, he built two mills and had a survey done for a community that became Waterdown. A stone cottage built on the street in the 1840s carries the family's name, but there is no evidence Griffin lived in it."
"8/12/2013","Gurnett Drive","Gurnett Drive is on the west Mountain in the forgotten Gurnett neighbourhood. It runs between Omni Boulevard and Megna Court-Greencedar Drive.","The Gurnetts were a pioneer family that settled in Ancaster in the early 1800s.","The Gurnett family operated a general store in downtown Ancaster at 280 Wilson St. starting in 1826. One of its claims to fame is that it housed the first telephone in Ancaster in the 1880s. George Gurnett published the first newspaper in the Hamilton area. The Gore Gazette hit the streets on March 3, 1827. Its office was where the St. John's Anglican Church addition now sits. George Gurnett moved to Toronto in 1830 to publish a new paper and served as mayor of Toronto. He died in 1861."
"6/8/2013","GURNETT NEIGHBOURHOOD","The neighbourhood is on the west Mountain bounded by the Linc, Stone Church Road, Upper Paradise Road and the Ancaster border.","George Gurnett (1792 to 1861) was a journalist, politician, magistrate and member of the Gore Militia.","He travelled from his native England to Virginia before moving to Ancaster in the 1820s. He started the Gore Gazette in 1827 under the motto ""all Extremes are Error."" From there, he moved onto York (Toronto) and was active in politics, serving for a time as mayor, and continued his newspaper under the name The Courier of Upper Canada."
"1/26/2013","Guy B. Brown Public School","Guy B. Brown Public School is located at 55 Braeheid Ave. in Waterdown.","Brown, who was born in 1892, was a respected member of the Waterdown community who served as secretary of the local public school board in Waterdown from 1952-62.","Brown had a long career in banking and was involved in fundraising efforts for various local projects and worked with the Waterdown and East Flamborough branch of the Canadian Red Cross among other things."
"3/20/2013","Guyatt Road","Guyatt Road runs between Westbrook Road and Trinity Church Road in Glanbrook.","John and Elizabeth Guyatt, who came to Binbrook in the 1830s, were one of the earliest settlers in the area.","The family bought 188 acres in 1838, and in the 1850s sold the land and bought a smaller farm on what became known as Guyatt Road. Numerous descendants of the pioneering family live in the Hamilton area today, including Dr. Gordon Guyatt, a professor with McMaster University's Faculty of Health Sciences."
"4/15/2013","Hadfield Court","Hadfield Court is located just southwest of Appleby Line and Upper Middle Road in Burlington.","Lieutenant Colonel Chris Hadfield was the first Canadian to fly as a NASA mission specialist.","Hadfield, who is living in space and serving as commander of the International Space Station, is from Milton. The street was named to honour his achievement as the first Canadian to set foot on Mir, the Russian space station, and the first to operate the Canadarm robotic manipulator system in orbit."
"1/5/2013","HAGERSVILLE","The town of Hagersville is part of Haldimand County and is on Highway 6 between Caledonia and Jarvis.","The book Ontario Place Names says the town is named after the first settlers, David and Charles Hager, who arrived in 1842 and built a hotel. This was about the time the Hamilton and Port Dover Plank Road was being built. They came from Oakville. Charles was a carpenter and David was an ironworker.","Charles Hager built a house, barn and general store at what is now the southeast corner of Highway 6 and King Street in Hagersville. David moved to Simcoe before the town took root. Charles died in 1886, but is buried in Springvale because Hagersville did not have its own cemetery until 1896. His granddaughter, Helen Livingston, was a well-known piano teacher in Hamilton whose home was filled with Hager family memorabilia. She died in 1992 at the age of 93."
"8/19/2013","HALL ROAD","Hall Road is located in Glanbrook and runs west from Trinity Church Road to Westbrook Road.","It was named for John Hall (1804 to 1886), who settled in Binbrook Township in 1843.","Hall, a native of Scotland, came to the township with his wife Margaret. They were married in 1828 in Montreal on the same day that Margaret arrived in Canada. The couple had 10 children. Hall was a farmer and a blacksmith. According to the book Hamilton Street Names, he and a neighbour cleared the land from the hamlet of Blackheath to Hall's Corners (now the village of Binbrook). Hall's farm was eventually divided into farms for his sons. He is buried in a cemetery on Kirk Road."
"10/10/2012","HALTON REGION","Halton Region and Halton County before it were named after William Halton, who died 190 years ago.","William Halton (1769-1821) was an Englishman who served as secretary to Upper Canada provincial Lieutenant-Governor Sir Francis Gore. His name is also used for Halton Hills, the Halton federal and provincial ridings, Halton police and Halton EMS.","Halton and Gore were good friends and it usually fell to Gore to name various places. When he needed a name to call a parcel of land that had been recently bought from an aboriginal group, his friend's name seemed like a good choice. Numerous businesses use the surname as well."
"10/12/2012","HAMILTON","Since 2001, Hamilton has been an amalgamation of what is referred to as the old city, and the suburban communities around it.","George Hamilton (1788-1836), who fought in the War of 1812, was a merchant and politician credited with founding Hamilton.","The community was conceived by George Hamilton, who purchased land holdings from James Durand after the War of 1812. From there the community at the head of Lake Ontario grew to a town and then finally was incorporated as a city in 1846. No known photograph or portrait of George Hamilton exists."
"8/15/2013","HANNON","Hannon was a hamlet in the former Glanford/Glanbrook Township, centring around today what is known as Rymal Road East and Dartnall Road.","It comes from the Hannon family who settled in Glanford in 1808.","Hannon remains the address for many who live in the north Glanbrook area, although there is no road sign recognizing the community. Until recently, the Hannon Post Office existed on Dartnall Road, just north of Rymal Road. The Hannon family settled in the area in 1808 around Nebo Road and Rymal Road East on a 200-hectare farm. Joseph Hannon was elected the first reeve of Glanford Township in 1850 and served as the Hannon postmaster and chair of a board of trustees for the Hannon school."
"3/22/2013","HARRINGTON COURT","Harrington Court runs off Harvester Road in Burlington.","George Harrington, who died in 2003 at the age of 73, was the mayor of Burlington from 1968 to 1976.","Harrington spent four decades in public life, including 14 years on Burlington city council, and 29 years on the former Burlington hydro commission. He was the city's first full-time mayor and is remembered for running the city like a business."
"11/21/2012","HARVEY FALLS","Harvey Falls, also called Pond Falls, is on the Niagara escarpment, halfway between McNeilly and Fifty roads.","Wes Harvey bought a parcel of land in the 1800s that included the falls.","Harvey Falls is one of an estimated 126 waterfalls in Hamilton. It is located on private property but can be seen from the Bruce Trail, from McNeilly or Fifty Road."
"6/5/2013","HARVEY PARK","Harvey Park is a narrow strip of land along the west side of Hamilton Harbour adjacent to Dundurn Park.","Sir John Harvey (1778 to 1852) was a highly respected British officer during the War of 1812.","Harvey's greatest triumph was the Battle of Stoney Creek (the 200th anniversary is this Thursday, even though the major celebrations were last weekend). It was his idea to launch a surprise night attack on an American encampment. Through a combination of good luck and military ingenuity, he was able to drive a much larger army into retreat after two American generals were captured."
